,PRODUTO,QTD
0,PAO ALHO TRD 10B/400GR                            ,27050
1,PAO ALHO PIC 10B/400GR                            ,4551
2,PAO ALHO SWIFT TRD 10B/400GR                                          ,1680
3,PAO ALHO SWIFT PIC 10B/400GR                                          ,770
4,PAO ALHO BOL TRD 6B/750GR                                             ,0
5,PAO ALHO BOL PIC 6B/750GR                                             ,0
6,PAO ALHO BOL TRD 10B/300GR                                            ,3198
7,PAO ALHO BOL PIC 10B/300GR                                            ,0
8,PAO ALHO TRD 10B/240GR                                                ,2975
9,PAO ALHO PIC 10B/240GR                                                ,429
10,PAO ALHO TRD 10B/270GR                                                ,0
11,PAO ALHO PIC 10B/270GR                                                ,0
12,PAO CEBOLA 10B/400GR                                                  ,3416
13,PAO CEBOLA BOL 10B/300GR                                              ,290
14,PAO DOCE LEITE 10B/300GR                                              ,0
15,PAO DOCE LEITE 10B/300GR SWIFT                                        ,1470
16,PAO DOCE BOLINHA 10B/300GR                                            ,821
